"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","HTTP","",""
"pre_128cipher","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","No 128 cipher limit bug","",""
"SSLv2","choisirleservicepublic.gouv.fr/54.38.250.204","443","OK","not offered","",""
"SSLv3","choisirleservicepublic.gouv.fr/54.38.250.204","443","OK","not offered","",""
"TLS1","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","not offered","",""
"TLS1_1","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","not offered","",""
"TLS1_2","choisirleservicepublic.gouv.fr/54.38.250.204","443","OK","offered","",""
"TLS1_3","choisirleservicepublic.gouv.fr/54.38.250.204","443","OK","offered with final","",""
"ALPN","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","not offered","",""
"cipherlist_NULL","choisirleservicepublic.gouv.fr/54.38.250.204","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","choisirleservicepublic.gouv.fr/54.38.250.204","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","choisirleservicepublic.gouv.fr/54.38.250.204","443","OK","not offered","","CWE-327"
"cipherlist_LOW","choisirleservicepublic.gouv.fr/54.38.250.204","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","not offered","",""
"cipherlist_STRONG_FS","choisirleservicepublic.gouv.fr/54.38.250.204","443","OK","offered","",""
"cipher_order-tls1_2","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","choisirleservicepublic.gouv.fr/54.38.250.204","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","choisirleservicepublic.gouv.fr/54.38.250.204","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","NOT a cipher order configured","",""
"FS","choisirleservicepublic.gouv.fr/54.38.250.204","443","OK","offered","",""
"FS_ciphers","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","choisirleservicepublic.gouv.fr/54.38.250.204","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","yes","",""
"sessionresumption_ticket","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","not supported","",""
"sessionresumption_ID","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","not supported","",""
"TLS_timestamp","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","random","",""
"certificate_compression","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","none","",""
"clientAuth","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","none","",""
"cert_numbers","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","1","",""
"cert_signatureAlgorithm","choisirleservicepublic.gouv.fr/54.38.250.204","443","OK","SHA256 with RSA","",""
"cert_keySize","choisirleservicepublic.gouv.fr/54.38.250.204","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","choisirleservicepublic.gouv.fr/54.38.250.204","443","INFO","Digital Signature, Key Encipherment","",""
